seed	n_atoms	n_heavy_atoms	n_confs	smiles	mapped_smiles
135092963	25	25	49	[O-]/[N+](=N\c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F	[c:23]1([c:19]([c:15]([c:13]([c:16]([c:20]1[F:9])[F:5])[F:2])[F:4])[F:8])/[N:12]=[N+:25](/[c:24]2[c:21]([c:17]([c:14]([c:18]([c:22]2[F:11])[F:7])[F:3])[F:6])[F:10])\[O-:1]
135160010	44	18	50	[O-][N+]12CCCC[C@H]1[C@@H]1C[C@H](C2)[C@H]2CCCCN2C1	[H:44][C@@:17]12[C@:16]3([C:10]([C:6]([C:4]([C:3]([N:2]3[C:9]([C@@:15]([C:11]1([H:35])[H:36])([C@@:14]4([C:8]([C:5]([C:7]([C:12]([N+:18]4([C:13]2([H:39])[H:40])[O-:1])([H:37])[H:38])([H:27])[H:28])([H:23])[H:24])([H:29])[H:30])[H:41])[H:42])([H:31])[H:32])([H:19])[H:20])([H:21])[H:22])([H:25])[H:26])([H:33])[H:34])[H:43]
135096883	17	13	50	Brc1cscc1Sc1cscc1Br	[H:16][C:8]1=[C:12]([C:10](=[C:6]([S:3]1)[H:14])[Br:1])[S:5][C:13]2=[C:9]([S:4][C:7](=[C:11]2[Br:2])[H:15])[H:17]
135092696	8	5	49	C=C=CC#N	[H:6][C:4](=[C:2]=[C:5]([H:8])[C:3]#[N:1])[H:7]
135093116	10	10	50	O=S(=O)(F)N(F)S(=O)(=O)F	[N:8]([F:5])([S:9](=[O:1])(=[O:2])[F:6])[S:10](=[O:3])(=[O:4])[F:7]
135093970	7	7	50	O=S=NSN=S=O	[N:3](=[S:6]=[O:1])[S:5][N:4]=[S:7]=[O:2]
135078287	26	13	50	C#CCSP(=O)(OC)OCCOC	[H:14][C:2]#[C:3][C:10]([H:21])([H:22])[S:7][P:13](=[O:1])([O:5][C:9]([H:18])([H:19])[H:20])[O:6][C:12]([H:25])([H:26])[C:11]([H:23])([H:24])[O:4][C:8]([H:15])([H:16])[H:17]
135354487	11	11	46	S=P12SP3SP(SP(S3)S1)S2	[P:8]12[S:2][P:9]3[S:4][P:10]([S:3]1)[S:7][P:11](=[S:1])([S:5]2)[S:6]3
135239824	8	8	50	O=S(Cl)C(Cl)=C(Cl)Cl	[C:7](=[C:6]([Cl:2])[Cl:3])([S:8](=[O:1])[Cl:5])[Cl:4]
135121768	7	7	50	O=S1(=O)OOOO1	[O:1]=[S:7]1(=[O:2])[O:5][O:3][O:4][O:6]1
135041714	11	11	50	FC(F)=C(F)OC(F)=C(F)F	[C:10](=[C:8]([F:1])[F:2])([O:7][C:11](=[C:9]([F:3])[F:4])[F:6])[F:5]
135165341	35	25	50	[O-][n+]1cc2c3c[n+]([O-])c4ccccc4c3[n+]([O-])nc2c2ccccc21	[H:26][c:5]1[c:7]([c:11]([c:21]2[c:18]([c:9]1[H:30])[c:15]3[c:16]([c:13]([n+:24]2[O-:2])[H:34])[c:17]4[c:14]([n+:25]([c:22]5[c:12]([c:8]([c:6]([c:10]([c:19]5[c:20]4[n+:23]([n:4]3)[O-:1])[H:31])[H:27])[H:29])[H:33])[O-:3])[H:35])[H:32])[H:28]
135094180	6	6	49	O=POP(=O)=O	[O:1]=[P:5][O:4][P:6](=[O:2])=[O:3]
135269867	18	12	50	ClC1C(Br)C(Br)C(Br)C(Br)C1Br	[H:13][C:7]1([C:8]([C:10]([C:12]([C:11]([C:9]1([H:15])[Br:3])([H:17])[Br:5])([H:18])[Br:6])([H:16])[Br:4])([H:14])[Br:2])[Cl:1]
135271232	11	5	50	NP(N)(N)=S	[H:6][N:2]([H:7])[P:5](=[S:1])([N:3]([H:8])[H:9])[N:4]([H:10])[H:11]
135209343	15	15	50	FC(F)(Cl)C(F)(Cl)OC(F)(F)C(F)(F)I	[C:14]([C:13]([F:3])([F:4])[I:10])([O:11][C:15]([C:12]([F:1])([F:2])[Cl:8])([F:7])[Cl:9])([F:5])[F:6]
373986921	45	25	50	COC1=CC=C(C)N2N=C(CCc3nc(-c4cncs4)cn3C)NC12	[H:29][C:11]1=[C:16]([C:23]2([N:18]([C:8](=[N:3][N:19]2[C:15](=[C:10]1[H:28])[C:21]([H:35])([H:36])[H:37])[C:25]([H:44])([H:45])[C:24]([H:42])([H:43])[C:7]3=[N:2][C:12](=[C:14]([N:17]3[C:22]([H:38])([H:39])[H:40])[H:30])[C:13]4=[C:9]([N:1]=[C:6]([S:5]4)[H:26])[H:27])[H:31])[H:41])[O:4][C:20]([H:32])([H:33])[H:34]
135100706	4	4	50	[O-][N+]#CBr	[C:3](#[N+:4][O-:1])[Br:2]
135028859	15	15	50	O=C1OC(=O)c2c(I)c(I)c(I)c(I)c21	[c:14]12[c:15]([c:13]([c:11]([c:10]([c:12]1[I:5])[I:3])[I:4])[I:6])[C:9](=[O:2])[O:7][C:8]2=[O:1]
136352619	34	18	50	CC(C)[NH2+]Cc1ccc(-c2cc(Cl)ccc2Cl)o1	[H:21][c:8]1[c:9]([c:12]([c:13]([c:10]([c:11]1[Cl:1])[H:23])[C:6]2=[C:4]([C:5](=[C:7]([O:3]2)[C:16]([H:30])([H:31])[N+:18]([H:33])([H:34])[C:17]([H:32])([C:14]([H:24])([H:25])[H:26])[C:15]([H:27])([H:28])[H:29])[H:20])[H:19])[Cl:2])[H:22]
135101395	13	8	50	S=C=NCC(Br)CBr	[H:11][C:7]([H:12])([C:8]([H:13])([C:6]([H:9])([H:10])[Br:2])[Br:3])[N:5]=[C:4]=[S:1]
163343378	50	26	50	O=S(=O)([O-])O[C@@H]([C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO)[C@@H](O)[C@H](O)[C@H](O)CO	[H:44][C@@:19]1([C@:18]([C:14]([S@@+:13]([C@:22]1([H:47])[C:16]([H:39])([H:40])[O:4][H:27])[C:15]([H:37])([H:38])[C@:20]([H:45])([C@@:23]([H:48])([C@:21]([H:46])([C@@:25]([H:50])([C@@:24]([H:49])([C:17]([H:41])([H:42])[O:5][H:28])[O:10][H:33])[O:11][H:34])[O:9][H:32])[O:12][S:26](=[O:1])(=[O:2])[O-:3])[O:8][H:31])([H:35])[H:36])([H:43])[O:6][H:29])[O:7][H:30]
85240538	16	12	50	Nc1nnc(-c2nonc2N)o1	[H:15][N:12]([H:16])[C:10]1=[N:4][O:5][N:2]=[C:8]1[C:7]2=[N:1][N:3]=[C:9]([O:6]2)[N:11]([H:13])[H:14]
135278702	41	23	50	C1=CC23COC4=CC5(CC6=COCC64C2=CC=C1C3)SCCS5	[H:25][C:6]1=[C:9]2[C:7](=[C:13]([C:23]3([C:20]2([H:40])[H:41])[C:14](=[C:8]1[H:27])[C:22]45[C:12](=[C:5]([O:1][C:15]4([H:30])[H:31])[H:24])[C:19]([C:21]6([C:10](=[C:11]5[O:2][C:16]3([H:32])[H:33])[H:28])[S:3][C:17]([C:18]([S:4]6)([H:36])[H:37])([H:34])[H:35])([H:38])[H:39])[H:29])[H:26]
135262164	3	3	50	[S-]S[S-]	[S-:1][S:3][S-:2]
160850312	41	18	50	C/C(Br)=C\CC/C(C)=C/CC(C)(C)/C=C/C(=O)O	[H:20]/[C:5](=[C:10](/[H:23])\[C:18]([C:13]([H:30])([H:31])[H:32])([C:14]([H:33])([H:34])[H:35])[C:17]([H:40])([H:41])/[C:9](=[C:8](\[C:12]([H:27])([H:28])[H:29])/[C:16]([H:38])([H:39])[C:15]([H:36])([H:37])/[C:7](=[C:6](\[C:11]([H:24])([H:25])[H:26])/[Br:2])/[H:21])/[H:22])/[C:4](=[O:1])[O:3][H:19]
135084158	32	21	50	Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1	[H:31][c:13]1[c:10]([c:16]([c:17]([c:14]([c:20]1[C:7]2=[O+:6][c:19]3[c:12]([c:15]([c:11]([c:18]([c:21]3[C:9](=[C:8]2[O:1][H:22])[H:27])[O:5][H:26])[H:29])[O:2][H:23])[H:30])[H:32])[O:4][H:25])[O:3][H:24])[H:28]
135036379	38	38	50	O=P(Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)(Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	[c:35]1([c:29]([c:23]([c:20]([c:24]([c:30]1[Cl:12])[Cl:6])[Cl:2])[Cl:5])[Cl:11])[O:17][P:38](=[O:1])([O:18][c:36]2[c:31]([c:25]([c:21]([c:26]([c:32]2[Cl:14])[Cl:8])[Cl:3])[Cl:7])[Cl:13])[O:19][c:37]3[c:33]([c:27]([c:22]([c:28]([c:34]3[Cl:16])[Cl:10])[Cl:4])[Cl:9])[Cl:15]
384578879	20	11	50	[NH3+][C@@H]1CC(C(=O)[O-])S(=O)(=O)C1	[H:17][C@:9]1([C:6]([C:7]([S:11](=[O:2])(=[O:3])[C:8]1([H:15])[H:16])([H:14])[C:5](=[O:1])[O-:4])([H:12])[H:13])[N+:10]([H:18])([H:19])[H:20]
135224312	28	20	50	N#CCSc1snc(SCc2ccc(F)cc2)c1C#N	[H:23][c:15]1[c:13]([c:17]([c:14]([c:16]([c:18]1[C:20]([H:27])([H:28])[S:9][C:10]2=[N:6][S:7][C:11](=[C:12]2[C:4]#[N:1])[S:8][C:19]([H:25])([H:26])[C:5]#[N:2])[H:24])[H:22])[F:3])[H:21]
135090875	10	6	50	O=[N+]([O-])CCCl	[H:9][C:6]([H:10])([C:5]([H:7])([H:8])[Cl:3])[N+:4](=[O:1])[O-:2]
163364249	38	14	50	C[C@@H]1OC[C@@H](C[N+](C)(C)C)OC1(C)C	[H:38][C@:13]1([C:7]([O:1][C@@:12]([C:6]([O:2]1)([C:3]([H:15])([H:16])[H:17])[C:4]([H:18])([H:19])[H:20])([H:37])[C:5]([H:21])([H:22])[H:23])([H:24])[H:25])[C:11]([H:35])([H:36])[N+:14]([C:8]([H:26])([H:27])[H:28])([C:9]([H:29])([H:30])[H:31])[C:10]([H:32])([H:33])[H:34]
135221636	36	19	50	O=S1CCN(c2nc(NC3CC3)nc(C3CC3)n2)C1	[H:27][C:14]1([C:15]([C:18]1([H:35])[c:7]2[n:3][c:5]([n:2][c:6]([n:4]2)[N:9]([H:20])[C:19]3([C:16]([C:17]3([H:33])[H:34])([H:31])[H:32])[H:36])[N:8]4[C:12]([C:13]([S:10](=[O:1])[C:11]4([H:21])[H:22])([H:25])[H:26])([H:23])[H:24])([H:29])[H:30])[H:28]
135100785	6	6	50	IC#CC#CI	[C:5](#[C:3][I:1])[C:6]#[C:4][I:2]
135093102	5	3	50	P=C=P	[H:4][P:2]=[C:1]=[P:3][H:5]
135024714	6	6	50	BrC(Br)=C(Br)Br	[C:5](=[C:6]([Br:3])[Br:4])([Br:1])[Br:2]
375982521	38	27	50	NS(=O)(=O)c1ccc(-c2nc3scc(-c4ccc([N+](=O)[O-])cc4)n3n2)cc1	[H:29][c:12]1[c:16]([c:22]([c:17]([c:13]([c:20]1[C:11]2=[C:10]([S:7][C:9]3=[N:6][C:8](=[N:5][N:24]23)[c:21]4[c:14]([c:18]([c:23]([c:19]([c:15]4[H:32])[H:36])[S:27](=[O:2])(=[O:3])[N:25]([H:37])[H:38])[H:35])[H:31])[H:28])[H:30])[H:34])[N+:26](=[O:1])[O-:4])[H:33]
135120333	5	3	50	SSS	[H:4][S:1][S:3][S:2][H:5]
135100155	32	32	50	FC1(F)C2=C(C3=C(C4=C(C5=C2C(F)(F)C5(F)F)C(F)(F)C4(F)F)C(F)(F)C3(F)F)C1(F)F	[C:17]12=[C:18]([C:20]3=[C:22]([C:24]4=[C:23]([C:21]5=[C:19]1[C:27]([C:29]5([F:9])[F:10])([F:5])[F:6])[C:31]([C:32]4([F:15])[F:16])([F:13])[F:14])[C:30]([C:28]3([F:7])[F:8])([F:11])[F:12])[C:26]([C:25]2([F:1])[F:2])([F:3])[F:4]
135103847	39	15	50	Cc1c(C(C)(C)C)nn(C)c1C(C)(C)C	[H:16][C:6]([H:17])([H:18])[C:3]1=[C:4]([N:5]([N:1]=[C:2]1[C:14]([C:8]([H:22])([H:23])[H:24])([C:9]([H:25])([H:26])[H:27])[C:10]([H:28])([H:29])[H:30])[C:7]([H:19])([H:20])[H:21])[C:15]([C:11]([H:31])([H:32])[H:33])([C:12]([H:34])([H:35])[H:36])[C:13]([H:37])([H:38])[H:39]
135097481	8	8	50	N1=S=NSN=S=NS1	[N:1]1=[S:7]=[N:2][S:6][N:4]=[S:8]=[N:3][S:5]1
135284252	21	9	50	C=C1CCC(=C)C(=C)C1	[H:10][C:1](=[C:4]1[C:5](=[C:2]([H:12])[H:13])[C:8]([C:9]([C:6](=[C:3]([H:14])[H:15])[C:7]1([H:16])[H:17])([H:20])[H:21])([H:18])[H:19])[H:11]
135097267	26	26	50	FC(F)(F)C1=C(C(F)(F)F)SC(=C2SC(C(F)(F)F)=C(C(F)(F)F)S2)S1	[C:19]1(=[C:20]([S:14][C:17](=[C:18]2[S:15][C:21](=[C:22]([S:16]2)[C:26]([F:10])([F:11])[F:12])[C:25]([F:7])([F:8])[F:9])[S:13]1)[C:24]([F:4])([F:5])[F:6])[C:23]([F:1])([F:2])[F:3]
135250018	15	8	50	C1=C\C=C/N=C\C=C/1	[H:15]/[C:8]/1=[C:7](/[C:4](=[C:3](\[N:1]=[C:2](/[C:5](=[C:6]1/[H:13])/[H:12])\[H:9])/[H:10])/[H:11])\[H:14]
135238882	15	12	50	N=C1NS(=O)(=O)N=C2NON=C12	[H:13][N:5]=[C:9]1[C:7]2=[N:3][O:6][N:10]([C:8]2=[N:4][S:12](=[O:1])(=[O:2])[N:11]1[H:15])[H:14]
252648468	48	23	50	CCCCNC1C(CC)C(CCC)C(C#N)(C#N)C1(C#N)C#N	[H:48][C:23]1([C:22]([C:20]([C:19]([C:21]1([H:46])[N:9]([H:24])[C:13]([H:34])([H:35])[C:16]([H:40])([H:41])[C:14]([H:36])([H:37])[C:10]([H:25])([H:26])[H:27])([C:5]#[N:1])[C:6]#[N:2])([C:7]#[N:3])[C:8]#[N:4])([H:47])[C:17]([H:42])([H:43])[C:15]([H:38])([H:39])[C:11]([H:28])([H:29])[H:30])[C:18]([H:44])([H:45])[C:12]([H:31])([H:32])[H:33]
295370531	22	22	50	ClC1=C(Cl)[C@@]2(Cl)[C@@]3(Cl)C(Cl)=C(Cl)[C@](Cl)(C3(Cl)Cl)[C@@]2(Cl)C1(Cl)Cl	[C:14]1(=[C:15]([C@:20]2([C@@:22]3([C@:21]([C@@:19]1([C:17]2([Cl:5])[Cl:6])[Cl:9])([C:16](=[C:13]([C:18]3([Cl:7])[Cl:8])[Cl:1])[Cl:4])[Cl:11])[Cl:12])[Cl:10])[Cl:3])[Cl:2]
135336993	39	19	50	CCOC(C)C(/C=N/NC(=S)NC)=N\NC(=S)NC	[H:20]/[C:9](=[N:4]\[N:11]([H:22])[C:7](=[S:2])[N:13]([H:24])[C:15]([H:28])([H:29])[H:30])/[C:8](=[N:3][N:10]([H:21])[C:6](=[S:1])[N:12]([H:23])[C:14]([H:25])([H:26])[H:27])[C:19]([H:39])([C:17]([H:34])([H:35])[H:36])[O:5][C:18]([H:37])([H:38])[C:16]([H:31])([H:32])[H:33]
135297162	30	20	50	O=c1[nH]c([C@H]2C[C@@H]3OP(=O)(O)OC[C@H]3O2)c(Br)c(=O)[nH]1	[H:29][C@@:18]1([C:15]([C@:17]2([C@:19]([O:5]1)([C:16]([O:7][P:20](=[O:3])([O:8]2)[O:6][H:21])([H:26])[H:27])[H:30])[H:28])([H:24])[H:25])[C:12]3=[C:11]([C:9](=[O:1])[N:13]([C:10](=[O:2])[N:14]3[H:23])[H:22])[Br:4]
135099680	4	4	50	S=P(=S)Cl	[P:4](=[S:1])(=[S:2])[Cl:3]
134994385	18	18	50	BrC(Br)(Br)c1nc(C(Br)(Br)Br)nc(C(Br)(Br)Br)n1	[c:13]1([n:10][c:14]([n:12][c:15]([n:11]1)[C:18]([Br:7])([Br:8])[Br:9])[C:17]([Br:4])([Br:5])[Br:6])[C:16]([Br:1])([Br:2])[Br:3]
135103054	17	6	50	CSCN(C)C	[H:10][C:4]([H:11])([H:12])[N:2]([C:5]([H:13])([H:14])[H:15])[C:6]([H:16])([H:17])[S:1][C:3]([H:7])([H:8])[H:9]
135086704	14	8	50	O=NN1CSCSC1	[H:11][C:7]1([N:5]([C:8]([S:4][C:6]([S:3]1)([H:9])[H:10])([H:13])[H:14])[N:2]=[O:1])[H:12]
135078969	27	27	49	FC(F)(F)C(=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F	[C:20](=[C:19]([C:21]([F:1])([F:2])[F:3])[C:22]([F:4])([F:5])[F:6])([C:27]([C:24]([F:10])([F:11])[F:12])([C:25]([F:13])([F:14])[F:15])[F:18])[C:26]([C:23]([F:7])([F:8])[F:9])([F:16])[F:17]
135101997	3	3	50	P#CCl	[C:3](#[P:1])[Cl:2]
135101712	6	5	50	C#CC#CF	[H:6][C:2]#[C:4][C:5]#[C:3][F:1]
104120669	4	4	50	S=C([S-])[S-]	[C:4](=[S:1])([S-:2])[S-:3]
135157883	36	21	50	[CH2+]C12C=CC=CC1=CC1C=Cc3cccc4ccc2c1c34	[H:29][c:9]1[c:13]([c:17]2[c:14]([c:10]([c:12]3[c:16]4[c:18]2[c:15]([c:11]1[H:31])[C:4](=[C:5]([C:20]4([C:6](=[C:8]5[C:21]3([C:7](=[C:3]([C:1](=[C:2]5[H:23])[H:22])[H:24])[H:28])[C+:19]([H:34])[H:35])[H:27])[H:36])[H:26])[H:25])[H:30])[H:33])[H:32]
135102296	20	9	50	[C-]#[N+]C12CCC(CC1)C2	[H:10][C:3]1([C:5]([C:9]2([C:6]([C:4]([C:8]1([C:7]2([H:18])[H:19])[H:20])([H:12])[H:13])([H:16])[H:17])[N+:2]#[C-:1])([H:14])[H:15])[H:11]
440971005	43	31	50	O=C(NCc1ncn2ccc(Cl)c(F)c12)c1cn(CC2=CN3C=C=C(Cl)C=C3O2)nn1	[H:32][C:12]1=[C:5]=[C:11]([C:15](=[C:21]2[N:26]1[C:20](=[C:25]([O:9]2)[C:31]([H:42])([H:43])[N:29]3[C:23](=[C:18]([N:6]=[N:7]3)[C:10](=[O:1])[N:28]([H:39])[C:30]([H:40])([H:41])[C:24]4=[C:22]5[C:16](=[C:17]([C:14](=[C:19]([N:27]5[C:13](=[N:8]4)[H:33])[H:36])[H:34])[Cl:4])[F:2])[H:38])[H:37])[H:35])[Cl:3]
163641168	29	17	50	CC#Cc1ccc(-c2ccc(C(O)CO)s2)s1	[H:20][C:8]1=[C:7]([S:5][C:12](=[C:9]1[H:21])[C:13]2=[C:10]([C:11](=[C:14]([S:6]2)[C:17]([H:29])([C:16]([H:27])([H:28])[O:3][H:18])[O:4][H:19])[H:23])[H:22])[C:1]#[C:2][C:15]([H:24])([H:25])[H:26]
135247919	18	12	50	NC(=O)NC(=O)NC(=O)C(N)=O	[H:13][N:9]([H:14])[C:5](=[O:1])[C:6](=[O:2])[N:11]([H:17])[C:8](=[O:4])[N:12]([H:18])[C:7](=[O:3])[N:10]([H:15])[H:16]
135178719	25	12	50	C[N+](C)(C)S(=O)(=O)[CH-]S(C)(=O)=O	[H:13][C-:5]([S:11](=[O:1])(=[O:2])[C:9]([H:23])([H:24])[H:25])[S:12](=[O:3])(=[O:4])[N+:10]([C:6]([H:14])([H:15])[H:16])([C:7]([H:17])([H:18])[H:19])[C:8]([H:20])([H:21])[H:22]
135109114	21	21	50	Clc1c(Br)c(Br)c2oc3c(Br)c(Br)c(Br)c(Br)c3c2c1Cl	[c:20]1-2[c:18]([c:15]([c:12]([c:10]([c:11]1[Cl:2])[Cl:1])[Br:3])[Br:6])[O:9][c:19]3[c:21]2[c:17]([c:14]([c:13]([c:16]3[Br:7])[Br:4])[Br:5])[Br:8]
363892743	48	26	50	CC(C)c1ccc(C2c3nnnn3CCN2Cc2cccc(Br)c2)cc1	[H:27][c:6]1[c:8]([c:15]([c:9]([c:14]([c:7]1[H:28])[Br:1])[H:30])[C:20]([H:35])([H:36])[N:19]2[C:25]([C:24]([N:18]3[C:5](=[N:4][N:2]=[N:3]3)[C:21]2([H:37])[c:16]4[c:10]([c:12]([c:17]([c:13]([c:11]4[H:32])[H:34])[C:26]([H:48])([C:22]([H:38])([H:39])[H:40])[C:23]([H:41])([H:42])[H:43])[H:33])[H:31])([H:44])[H:45])([H:46])[H:47])[H:29]
252624376	28	16	50	CN1C(=O)/C(=C/C=C2\SCCN2C)SC1=S	[H:17]/[C:8](=[C:7]/1\[C:5](=[O:1])[N:11]([C:6](=[S:2])[S:3]1)[C:13]([H:19])([H:20])[H:21])/[C:9](=[C:10]\2/[N:12]([C:16]([C:15]([S:4]2)([H:25])[H:26])([H:27])[H:28])[C:14]([H:22])([H:23])[H:24])/[H:18]
# 135274948	error
135132197	23	14	50	N/N=c1/ccc(-n2nccc2N)n[nH]1	[H:16][C:6]1=[C:8](/[C:10](=[N:3]/[N:11]([H:19])[H:20])/[N:14]([N:2]=[C:5]1[N:13]2[C:9](=[C:7]([C:4](=[N:1]2)[H:15])[H:17])[N:12]([H:21])[H:22])[H:23])[H:18]
135098805	14	14	47	O=P12OP3(=O)OP(=O)(O1)OP(=O)(O2)O3	[O:1]=[P:11]12[O:5][P:12]3(=[O:2])[O:7][P:13](=[O:3])([O:6]1)[O:10][P:14](=[O:4])([O:8]2)[O:9]3
135091854	10	10	50	N#Cc1sc(=O)sc1C#N	[C:4](#[N:1])[C:9]1=[C:10]([S:7][C:8](=[O:3])[S:6]1)[C:5]#[N:2]
# 135078483	error
134978595	6	6	50	IC(I)=C(I)I	[C:5](=[C:6]([I:3])[I:4])([I:1])[I:2]
11108294	34	18	50	C=CCN(C)c1nc(I)nc2c1ncn2C(C)C	[H:19][C:5]1=[N:2][c:11]2[c:10]([n:4][c:8]([n:3][c:9]2[N:12]([C:14]([H:23])([H:24])[H:25])[C:15]([H:26])([H:27])[C:7](=[C:6]([H:20])[H:21])[H:22])[I:1])[N:13]1[C:18]([H:34])([C:16]([H:28])([H:29])[H:30])[C:17]([H:31])([H:32])[H:33]
135082631	44	24	50	COc1[nH]c(=O)c(C(=O)C(C)CC(C)C(Cl)(Cl)CCl)c(O)c1OC	[H:33][C:18]([H:34])([H:35])[C:23]([H:43])([C:10](=[O:2])[C:13]1=[C:11]([C:12](=[C:14]([N:15]([C:9]1=[O:1])[H:26])[O:8][C:17]([H:30])([H:31])[H:32])[O:7][C:16]([H:27])([H:28])[H:29])[O:6][H:25])[C:21]([H:41])([H:42])[C:24]([H:44])([C:19]([H:36])([H:37])[H:38])[C:22]([C:20]([H:39])([H:40])[Cl:3])([Cl:4])[Cl:5]
135239137	26	11	50	C[N+]12CN3CN(CP(C3)C1)C2	[H:12][C:4]1([N:1]2[C:8]([N+:11]3([C:9]([N:2]1[C:6]([P:3]([C:5]2([H:14])[H:15])[C:10]3([H:25])[H:26])([H:16])[H:17])([H:23])[H:24])[C:7]([H:18])([H:19])[H:20])([H:21])[H:22])[H:13]
135245199	47	25	50	OC1C[C@]23C=CCN4CC[C@H]5c6cc7c(cc6N1[C@@]5(CC2)[C@@H]43)OCO7	[H:30][c:7]1[c:11]2[c:10]([c:6]([c:8]3[c:9]1[O:2][C:14]([O:1]3)([H:31])[H:32])[H:29])[N:13]4[C@:25]56[C@:23]2([C:20]([C:16]([N:12]7[C@:24]5([C@@:22]([C:5](=[C:4]([C:15]7([H:33])[H:34])[H:27])[H:28])([C:19]([C:21]6([H:44])[H:45])([H:40])[H:41])[C:18]([C:17]4([H:37])[O:3][H:26])([H:38])[H:39])[H:47])([H:35])[H:36])([H:42])[H:43])[H:46]
135157309	9	7	50	O=c1[n-]c(=O)[nH][nH]1	[H:8][N:6]1[C:4](=[O:1])[N-:3][C:5](=[O:2])[N:7]1[H:9]
135088214	31	20	50	O=C(O)[C@H]1OC(O/N=C/c2cnns2)[C@H](O)[C@@H](O)[C@@H]1O	[H:25][C:13]1=[C:14]([S:11][N:2]=[N:3]1)/[C:15](=[N:4]/[O:6][C:16]2([C@:20]([C@@:19]([C@:18]([C@@:17]([O:7]2)([H:28])[C:12](=[O:1])[O:5][H:21])([H:29])[O:8][H:22])([H:30])[O:9][H:23])([H:31])[O:10][H:24])[H:27])/[H:26]
135031159	28	13	50	COP1(OC)(OC)OC(C)=C(C)O1	[H:23][C:11]([H:24])([H:25])[C:6]1=[C:7]([O:2][P:13]([O:1]1)([O:3][C:8]([H:14])([H:15])[H:16])([O:4][C:9]([H:17])([H:18])[H:19])[O:5][C:10]([H:20])([H:21])[H:22])[C:12]([H:26])([H:27])[H:28]
252627293	16	12	50	Clc1nss/c1=N\C1=NCCS1	[H:13][C:11]1([C:12]([S:7][C:8](=[N:2]1)/[N:4]=[C:10]\2/[C:9](=[N:3][S:5][S:6]2)[Cl:1])([H:15])[H:16])[H:14]
135343509	12	9	49	N=S(=O)(O)OS(=O)(=O)O	[H:10][N:4]=[S:9](=[O:3])([O:6][H:12])[O:7][S:8](=[O:1])(=[O:2])[O:5][H:11]
135001952	9	4	50	C=CN=C	[H:7][C:3](=[C:4]([H:9])[N:1]=[C:2]([H:5])[H:6])[H:8]
